Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
11,Zakaria Aboukhlal,ma MAR,"DF,FW",Torino,it Serie A,25.0,2000,12,4,414,4.6,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.5,0.00,0.10,17,16,22,6,2,33.3,1.30,0.43,0.00,0.00,17.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,100,148,67.6,1584,601,0,0.1,0.3,-0.1,2,5,3,2,16,132,16,0,0,0,11,15,0,0,0,0,100,20,11,11,4,5,18,66.7,6,8,1,7,1,21,7,0,9,1.96,5,4,0,0,0,0,0,0.00,219,8,51,93,85,14,219,18,6,33.3,10,55.6,122,917,529,17,14,4,11,5,128,22,3,0,0,9,10,7,11,1,11,0,0,0,24,2,7,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26.0,1999,10,8,690,7.7,0,1,1,0,0,0,5,0,0.2,0.2,0.4,0.6,0.13,0.08,3,11,1,6,1,16.7,0.78,0.13,0.00,0.00,13.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,178,247,72.1,4249,1471,1,0.4,0.4,+0.6,3,17,1,0,11,233,14,12,0,8,1,2,0,0,0,0,178,23,13,16,7,0,17,82.4,3,11,4,7,10,33,38,0,4,0.52,3,0,0,0,1,0,1,0.13,360,29,176,167,17,8,360,5,2,40.0,3,60.0,133,592,287,3,1,0,8,1,155,1,5,0,0,9,18,1,1,10,13,0,0,0,28,13,5,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24.0,2001,8,7,526,5.8,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,0.00,0.03,1,20,10,6,0,0.0,1.03,0.00,0.00,,26.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,197,238,82.8,2960,801,0,0.0,0.2,0.0,1,15,2,0,20,234,4,4,0,1,0,0,0,0,0,0,197,19,14,7,10,2,12,66.7,4,8,3,5,8,27,10,2,7,1.20,6,0,0,1,0,0,0,0.00,297,12,81,180,39,6,297,4,3,75.0,1,25.0,145,439,157,1,2,0,2,4,169,10,2,0,0,5,4,0,0,8,14,0,0,0,33,7,2,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Giorgi Abuashvili,ge GEO,"FW,MF",Metz,fr Ligue 1,22.0,2003,10,4,288,3.2,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,0.31,0.15,11,9,20,9,4,44.4,2.81,1.25,0.11,0.25,24.6,0,0,0,0.3,0.3,0.03,+0.7,+0.7,101,128,78.9,1734,382,0,0.2,0.4,-0.2,3,8,2,1,9,114,14,1,2,2,16,5,8,4,3,0,101,9,5,6,3,0,8,50.0,4,5,1,4,1,10,4,0,7,2.19,2,2,1,1,0,1,1,0.31,177,6,36,80,62,6,177,11,3,27.3,8,72.7,100,566,328,11,5,3,6,10,112,20,1,0,0,3,3,0,16,1,5,0,0,0,15,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37.0,1988,11,10,869,9.7,0,1,1,0,0,0,2,0,0.4,0.4,0.4,0.8,0.10,0.08,6,35,0,3,1,33.3,0.31,0.10,0.00,0.00,8.0,0,0,0,0.4,0.4,0.12,-0.4,-0.4,544,575,94.6,10271,2683,1,0.4,0.8,+0.6,3,22,2,1,35,565,10,7,0,0,1,1,0,0,0,0,544,7,5,4,2,1,2,50.0,1,14,11,3,15,22,60,0,8,0.83,7,0,0,1,0,0,1,0.10,694,72,314,346,34,8,694,1,1,100.0,0,0.0,344,1459,798,6,7,0,7,0,482,0,2,0,0,11,8,2,1,15,5,0,0,0,32,32,17,65.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27.0,1998,15,5,627,7.0,1,3,4,1,0,0,1,0,4.0,4.0,1.4,5.4,0.57,0.78,3,13,22,17,7,41.2,2.44,1.00,0.06,0.14,13.2,0,0,0,4.0,4.0,0.24,-3.0,-3.0,81,130,62.3,1159,261,3,1.4,0.5,+1.6,13,11,3,0,13,121,8,0,0,0,0,0,0,0,0,0,81,5,3,0,3,2,4,25.0,3,6,1,5,0,5,20,0,24,3.45,15,0,2,3,4,0,4,0.58,227,23,36,94,98,38,227,9,2,22.2,6,66.7,89,354,140,3,7,0,23,9,162,22,1,0,0,8,16,3,0,0,3,1,0,0,14,52,34,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19.0,2006,8,6,470,5.2,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,0.19,0.13,5,13,4,3,2,66.7,0.57,0.38,0.33,0.50,8.1,0,0,0,0.6,0.6,0.20,+0.4,+0.4,321,354,90.7,5337,1299,0,0.1,0.1,-0.1,1,11,1,1,13,333,21,9,0,0,1,8,0,0,0,0,321,6,5,5,1,0,5,40.0,3,7,2,5,8,14,16,4,1,0.19,1,0,0,0,0,0,0,0.00,403,33,161,209,36,6,403,14,10,71.4,3,21.4,283,1426,723,5,6,1,1,5,303,4,0,0,0,1,5,1,1,8,5,0,0,0,19,10,7,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25.0,2000,14,8,852,9.5,3,2,5,3,0,0,1,0,3.9,3.9,0.8,4.7,0.53,0.50,17,8,41,28,13,46.4,2.96,1.37,0.11,0.23,15.1,0,0,0,3.9,3.9,0.14,-0.9,-0.9,86,148,58.1,1342,183,2,0.8,0.2,+1.2,4,4,2,0,8,137,11,0,0,0,7,0,0,0,0,0,86,4,2,2,1,1,2,50.0,1,8,1,7,0,4,12,1,11,1.16,8,0,1,2,0,0,1,0.11,241,11,26,102,118,48,241,14,8,57.1,6,42.9,121,651,314,17,4,10,23,11,178,41,1,0,0,14,3,23,7,0,2,0,0,0,17,24,26,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Che Adams,sct SCO,FW,Torino,it Serie A,29.0,1996,19,10,1050,11.7,3,1,4,3,0,0,0,0,3.3,3.3,1.3,4.5,0.34,0.39,12,25,82,35,11,31.4,3.00,0.94,0.09,0.27,19.0,0,0,0,3.3,3.3,0.09,-0.3,-0.3,224,303,73.9,3815,768,1,1.3,1.2,-0.3,14,22,8,1,25,292,8,1,0,8,10,1,1,0,0,0,224,8,4,4,3,1,7,42.9,4,2,0,2,1,9,7,0,30,2.57,24,0,1,4,1,0,2,0.17,419,8,36,180,205,54,419,22,11,50.0,11,50.0,232,1053,316,12,8,9,26,13,316,82,0,0,0,7,7,4,10,1,4,0,0,0,32,15,30,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26.0,1999,15,15,1195,13.3,2,1,3,2,0,0,5,0,0.5,0.5,0.1,0.5,0.23,0.04,12,61,7,8,6,75.0,0.60,0.45,0.25,0.33,23.5,0,0,0,0.5,0.5,0.06,+1.5,+1.5,605,695,87.1,10197,2497,1,0.1,0.3,+0.9,2,59,1,0,61,671,24,22,1,2,0,2,0,0,0,0,605,35,16,14,15,6,36,63.9,13,21,5,16,21,56,26,1,13,0.98,12,0,0,0,0,1,3,0.23,851,50,238,497,123,7,851,10,4,40.0,5,50.0,455,2112,1048,12,17,0,16,5,502,7,5,0,0,21,10,1,0,21,16,0,0,0,61,11,15,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24.0,2001,9,7,446,5.0,1,1,2,1,0,0,1,0,1.6,1.6,1.2,2.7,0.40,0.55,2,4,28,7,3,42.9,1.41,0.61,0.14,0.33,9.6,0,0,0,1.6,1.6,0.23,-0.6,-0.6,49,85,57.6,642,110,1,1.2,0.2,-0.2,4,1,2,1,4,81,3,0,0,0,2,0,0,0,0,0,49,11,6,8,3,0,3,66.7,1,3,2,1,6,17,6,0,9,1.82,6,0,0,2,0,1,2,0.40,168,12,26,78,66,21,168,14,5,35.7,7,50.0,83,392,89,2,4,1,25,3,115,28,1,0,0,10,9,6,2,6,6,0,0,0,14,23,28,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28.0,1997,10,6,651,7.2,0,0,0,0,0,0,2,0,0.1,0.1,0.7,0.8,0.00,0.11,3,21,0,2,0,0.0,0.28,0.00,0.00,,5.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,586,648,90.4,10590,4048,0,0.7,0.4,-0.7,1,25,2,0,21,620,25,10,4,2,0,3,0,0,0,0,586,13,6,7,5,1,3,33.3,2,5,4,1,6,19,49,1,4,0.55,3,0,0,1,0,0,0,0.00,727,86,352,364,11,3,727,0,0,,0,,440,1794,1127,3,1,0,1,1,530,0,2,0,0,5,0,1,0,6,6,0,0,0,16,32,16,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Jayden Addai,nl NED,FW,Como,it Serie A,20.0,2005,10,7,618,6.9,3,0,3,3,0,0,3,0,1.4,1.4,0.5,1.9,0.44,0.28,24,14,54,12,6,50.0,1.75,0.87,0.25,0.50,18.0,0,0,0,1.4,1.4,0.12,+1.6,+1.6,108,155,69.7,1629,351,0,0.5,0.7,-0.5,5,5,5,1,14,152,3,1,1,2,9,1,1,0,1,0,108,6,2,2,3,1,3,0.0,3,5,1,4,3,9,4,0,13,1.89,8,1,3,1,0,0,0,0.00,233,3,30,80,128,29,233,29,10,34.5,15,51.7,155,1147,676,24,11,12,15,16,167,54,3,0,0,12,12,2,9,3,2,0,0,0,22,2,1,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,23.0,2002,16,10,751,8.3,4,1,5,4,0,0,2,0,2.7,2.7,1.6,4.2,0.60,0.51,25,19,79,20,9,45.0,2.40,1.08,0.20,0.44,16.4,0,0,0,2.7,2.7,0.13,+1.3,+1.3,141,198,71.2,1928,402,1,1.6,1.8,-0.6,9,8,5,1,19,190,8,0,1,1,6,7,0,0,0,0,141,3,2,2,0,1,5,0.0,5,5,0,5,4,7,2,0,32,3.83,22,0,6,0,4,0,6,0.72,329,3,33,100,201,46,329,44,15,34.1,27,61.4,220,1338,687,25,18,14,34,15,250,79,2,0,0,13,19,3,6,4,2,1,0,0,22,5,7,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Simon Adingra,ci CIV,"FW,MF",Sunderland,eng Premier League,24.0,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.3,0.3,0.9,1.2,0.14,0.17,25,8,67,6,2,33.3,0.83,0.28,0.17,0.50,16.8,0,0,0,0.3,0.3,0.06,+0.7,+0.7,130,192,67.7,1899,297,0,0.9,0.6,-0.9,7,3,6,2,8,188,3,0,1,0,27,3,0,0,0,0,130,11,8,5,4,2,15,40.0,9,11,0,11,2,13,11,0,14,1.93,13,0,1,0,0,0,1,0.14,290,7,45,106,142,16,290,27,7,25.9,19,70.4,180,1257,636,25,14,4,12,12,204,67,2,0,0,17,3,4,27,2,8,0,0,0,20,9,14,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,23.0,2002,3,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,69,73,94.5,1263,481,0,0.0,0.0,0.0,0,5,0,0,6,70,3,2,0,0,0,1,0,0,0,0,69,1,1,1,0,0,1,100.0,0,0,0,0,0,1,4,0,2,1.86,2,0,0,0,0,0,0,0.00,78,6,31,45,2,0,78,0,0,,0,,54,435,323,1,1,0,0,0,58,0,0,0,0,1,1,0,0,0,1,0,0,0,6,1,4,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Amine Adli,ma MAR,"FW,MF",Bournemouth,eng Premier League,25.0,2000,17,3,442,4.9,1,0,1,1,0,0,1,0,1.0,1.0,0.5,1.4,0.20,0.30,11,19,37,10,5,50.0,2.04,1.02,0.10,0.20,17.7,1,0,0,1.0,1.0,0.10,0.0,0.0,135,189,71.4,1864,463,0,0.5,0.4,-0.5,6,12,4,0,19,178,9,1,2,1,12,5,2,2,0,0,135,19,6,8,8,3,16,81.3,3,10,1,9,3,22,9,0,17,3.47,13,0,1,1,1,1,0,0.00,263,8,50,104,113,19,263,10,4,40.0,5,50.0,136,771,457,11,7,0,9,4,155,37,1,0,0,17,13,2,12,3,6,0,0,0,26,11,9,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19.0,2006,7,1,140,1.6,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,0.64,0.24,2,10,7,5,4,80.0,3.21,2.57,0.20,0.25,26.3,1,0,0,0.2,0.2,0.04,+0.8,+0.8,68,86,79.1,1147,243,0,0.2,0.1,-0.2,4,5,3,0,10,76,8,4,0,1,4,3,1,0,1,0,68,4,2,2,2,0,1,0.0,1,2,0,2,2,6,3,2,6,3.88,6,0,0,0,0,0,0,0.00,113,4,16,49,51,3,113,6,1,16.7,5,83.3,51,227,115,2,3,1,0,2,61,7,0,0,0,3,1,0,4,2,2,0,0,0,13,1,6,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,29.0,1997,19,18,1583,17.6,0,1,1,0,0,0,4,0,0.2,0.2,0.8,1.0,0.06,0.06,23,93,18,7,0,0.0,0.40,0.00,0.00,,25.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2,722,857,84.2,13756,3829,1,0.8,1.2,+0.2,16,73,13,3,93,780,74,44,0,9,19,4,11,3,5,0,722,42,28,15,23,4,36,63.9,13,17,5,12,22,64,17,3,44,2.50,34,5,3,0,1,1,4,0.23,1017,51,263,626,135,4,1017,14,6,42.9,6,42.9,554,2559,1301,23,18,3,21,8,630,18,4,0,0,22,22,0,19,22,28,0,0,0,86,9,13,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,David Affengruber,at AUT,DF,Elche,es La Liga,24.0,2001,18,16,1470,16.3,0,0,0,0,0,0,4,1,0.4,0.4,0.3,0.7,0.00,0.04,16,58,5,5,1,20.0,0.31,0.06,0.00,0.00,11.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,889,1019,87.2,15385,5465,0,0.3,0.5,-0.3,4,66,4,0,58,971,47,30,0,8,3,7,0,0,0,0,889,37,25,24,13,0,33,72.7,9,14,11,3,28,65,96,3,15,0.92,15,0,0,0,0,0,2,0.12,1204,131,531,637,44,12,1204,6,4,66.7,1,16.7,638,3620,2302,16,10,2,6,2,785,5,4,1,0,17,18,2,3,28,25,0,1,0,81,30,16,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Oladapo Afolayan,eng ENG,"MF,FW",St. Pauli,de Bundesliga,27.0,1998,7,1,150,1.7,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,0.00,0.45,7,7,19,4,2,50.0,2.40,1.20,0.00,0.00,19.7,0,0,0,0.6,0.6,0.15,-0.6,-0.6,50,75,66.7,858,159,0,0.1,0.2,-0.1,2,5,2,1,7,74,0,0,1,0,10,0,0,0,0,0,50,4,2,1,0,3,0,,0,4,1,3,0,4,2,0,7,4.23,5,0,0,2,0,0,0,0.00,111,3,6,36,70,7,111,13,2,15.4,10,76.9,81,532,246,7,3,3,8,7,101,19,1,0,0,2,6,0,10,0,2,0,0,0,4,3,4,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
